Time,Altitude,Position East of launch,Position North of launch
13.515000000,2523.805000000,-11.667000000,-20.007000000
13.565000000,2528.944000000,-11.643000000,-19.946000000
13.615000000,2534.051000000,-11.619000000,-19.885000000
13.665000000,2539.127000000,-11.594000000,-19.821000000
13.715000000,2544.172000000,-11.569000000,-19.754000000
13.765000000,2549.185000000,-11.542000000,-19.685000000
13.815000000,2554.166000000,-11.514000000,-19.615000000
13.865000000,2559.117000000,-11.487000000,-19.545000000
13.915000000,2564.036000000,-11.461000000,-19.476000000
13.965000000,2568.923000000,-11.434000000,-19.408000000
14.015000000,2573.780000000,-11.408000000,-19.340000000
14.065000000,2578.605000000,-11.381000000,-19.271000000
14.115000000,2583.400000000,-11.354000000,-19.201000000
14.165000000,2588.164000000,-11.326000000,-19.128000000
14.215000000,2592.898000000,-11.297000000,-19.053000000
14.265000000,2597.601000000,-11.267000000,-18.977000000
14.315000000,2602.273000000,-11.237000000,-18.900000000
14.365000000,2606.915000000,-11.208000000,-18.824000000
14.415000000,2611.526000000,-11.179000000,-18.750000000
14.465000000,2616.107000000,-11.151000000,-18.676000000
14.515000000,2620.658000000,-11.122000000,-18.602000000
14.565000000,2625.178000000,-11.093000000,-18.526000000
14.615000000,2629.669000000,-11.063000000,-18.449000000
14.665000000,2634.130000000,-11.032000000,-18.370000000
14.715000000,2638.561000000,-11.001000000,-18.290000000
14.765000000,2642.962000000,-10.971000000,-18.211000000
14.815000000,2647.333000000,-10.941000000,-18.133000000
14.865000000,2651.674000000,-10.910000000,-18.055000000
14.915000000,2655.986000000,-10.880000000,-17.976000000
14.965000000,2660.268000000,-10.849000000,-17.897000000
15.000000000,2663.250000000,-10.828000000,-17.840000000
15.050000000,2667.482000000,-10.796000000,-17.758000000
15.100000000,2671.686000000,-10.763000000,-17.674000000
15.150000000,2675.860000000,-10.730000000,-17.588000000
15.200000000,2680.005000000,-10.696000000,-17.503000000
15.250000000,2684.121000000,-10.664000000,-17.418000000
15.300000000,2688.207000000,-10.631000000,-17.334000000
15.350000000,2692.265000000,-10.598000000,-17.250000000
15.400000000,2696.293000000,-10.566000000,-17.166000000
15.450000000,2700.293000000,-10.534000000,-17.082000000
15.500000000,2704.264000000,-10.501000000,-16.997000000
15.550000000,2708.206000000,-10.468000000,-16.911000000
15.600000000,2712.120000000,-10.433000000,-16.823000000
