Time,Altitude,Position East of launch,Position North of launch
6.300000000,1362.262000000,-9.113000000,-15.735000000
6.350000000,1374.217000000,-9.209000000,-15.910000000
6.400000000,1386.091000000,-9.302000000,-16.080000000
6.450000000,1397.886000000,-9.393000000,-16.247000000
6.500000000,1409.602000000,-9.483000000,-16.413000000
6.550000000,1421.241000000,-9.570000000,-16.574000000
6.600000000,1432.803000000,-9.655000000,-16.731000000
6.650000000,1444.290000000,-9.738000000,-16.885000000
6.700000000,1455.703000000,-9.818000000,-17.036000000
6.750000000,1467.041000000,-9.897000000,-17.183000000
6.800000000,1478.307000000,-9.974000000,-17.328000000
6.850000000,1489.501000000,-10.048000000,-17.468000000
6.900000000,1500.624000000,-10.121000000,-17.606000000
6.950000000,1511.676000000,-10.192000000,-17.741000000
7.000000000,1522.659000000,-10.261000000,-17.874000000
7.050000000,1533.573000000,-10.329000000,-18.003000000
7.100000000,1544.419000000,-10.394000000,-18.130000000
7.150000000,1555.197000000,-10.458000000,-18.253000000
7.200000000,1565.909000000,-10.521000000,-18.374000000
7.250000000,1576.555000000,-10.582000000,-18.492000000
7.300000000,1587.136000000,-10.640000000,-18.606000000
7.350000000,1597.652000000,-10.697000000,-18.718000000
7.400000000,1608.103000000,-10.753000000,-18.828000000
7.450000000,1618.492000000,-10.808000000,-18.936000000
7.500000000,1628.817000000,-10.861000000,-19.040000000
7.550000000,1639.081000000,-10.912000000,-19.142000000
7.600000000,1649.283000000,-10.962000000,-19.241000000
7.650000000,1659.424000000,-11.010000000,-19.338000000
7.700000000,1669.504000000,-11.057000000,-19.432000000
7.750000000,1679.525000000,-11.103000000,-19.525000000
7.800000000,1689.486000000,-11.147000000,-19.614000000
7.850000000,1699.388000000,-11.188000000,-19.699000000
7.900000000,1709.233000000,-11.229000000,-19.782000000
7.950000000,1719.019000000,-11.269000000,-19.864000000
8.000000000,1728.748000000,-11.308000000,-19.944000000
8.050000000,1738.420000000,-11.345000000,-20.020000000
8.100000000,1748.036000000,-11.380000000,-20.093000000
8.141000000,1755.972000000,-11.409000000,-20.154000000
8.191000000,1765.485000000,-11.444000000,-20.226000000
8.241000000,1774.944000000,-11.476000000,-20.295000000
8.291000000,1784.348000000,-11.507000000,-20.360000000
8.341000000,1793.698000000,-11.538000000,-20.425000000
8.391000000,1802.994000000,-11.568000000,-20.488000000
8.441000000,1812.236000000,-11.596000000,-20.548000000
8.491000000,1821.426000000,-11.622000000,-20.604000000
8.541000000,1830.564000000,-11.647000000,-20.658000000
8.591000000,1839.649000000,-11.672000000,-20.712000000
8.641000000,1848.682000000,-11.696000000,-20.765000000
8.691000000,1857.664000000,-11.719000000,-20.814000000
8.741000000,1866.595000000,-11.741000000,-20.862000000
8.791000000,1875.476000000,-11.761000000,-20.907000000
8.841000000,1884.306000000,-11.781000000,-20.950000000
8.891000000,1893.086000000,-11.800000000,-20.993000000
8.941000000,1901.817000000,-11.819000000,-21.034000000
8.991000000,1910.498000000,-11.836000000,-21.073000000
9.041000000,1919.131000000,-11.851000000,-21.108000000
9.091000000,1927.715000000,-11.866000000,-21.140000000
9.141000000,1936.251000000,-11.880000000,-21.173000000
9.191000000,1944.739000000,-11.895000000,-21.207000000
9.241000000,1953.180000000,-11.909000000,-21.238000000
9.290000000,1961.327000000,-11.919000000,-21.264000000
9.329000000,1967.863000000,-11.926000000,-21.281000000
9.379000000,1976.174000000,-11.935000000,-21.301000000
9.408000000,1980.936000000,-11.940000000,-21.314000000
9.436000000,1985.588000000,-11.947000000,-21.329000000
9.478000000,1992.538000000,-11.956000000,-21.350000000
9.528000000,2000.712000000,-11.965000000,-21.372000000
9.560000000,2005.819000000,-11.969000000,-21.382000000
9.607000000,2013.446000000,-11.974000000,-21.394000000
9.652000000,2020.752000000,-11.979000000,-21.408000000
9.695000000,2027.604000000,-11.985000000,-21.422000000
9.745000000,2035.582000000,-11.991000000,-21.437000000
9.795000000,2043.515000000,-11.996000000,-21.449000000
9.845000000,2051.405000000,-11.999000000,-21.457000000
9.895000000,2059.251000000,-12.002000000,-21.465000000
9.945000000,2067.053000000,-12.005000000,-21.474000000
9.995000000,2074.812000000,-12.007000000,-21.480000000
10.045000000,2082.528000000,-12.008000000,-21.484000000
10.095000000,2090.201000000,-12.008000000,-21.485000000
10.145000000,2097.831000000,-12.007000000,-21.485000000
10.195000000,2105.419000000,-12.006000000,-21.485000000
10.245000000,2112.965000000,-12.005000000,-21.484000000
10.295000000,2120.469000000,-12.004000000,-21.481000000
10.345000000,2127.931000000,-12.001000000,-21.477000000
10.395000000,2135.352000000,-11.998000000,-21.471000000
10.445000000,2142.732000000,-11.994000000,-21.463000000
10.495000000,2150.070000000,-11.990000000,-21.455000000
10.545000000,2157.367000000,-11.985000000,-21.447000000
10.595000000,2164.624000000,-11.981000000,-21.437000000
10.645000000,2171.841000000,-11.975000000,-21.425000000
10.695000000,2179.017000000,-11.969000000,-21.412000000
10.745000000,2186.154000000,-11.962000000,-21.398000000
10.795000000,2193.250000000,-11.955000000,-21.383000000
10.845000000,2200.307000000,-11.948000000,-21.367000000
10.895000000,2207.325000000,-11.940000000,-21.349000000
10.945000000,2214.303000000,-11.931000000,-21.330000000
10.995000000,2221.242000000,-11.921000000,-21.309000000
11.045000000,2228.143000000,-11.911000000,-21.287000000
11.095000000,2235.005000000,-11.901000000,-21.264000000
11.145000000,2241.828000000,-11.890000000,-21.240000000
11.195000000,2248.613000000,-11.880000000,-21.216000000
11.245000000,2255.360000000,-11.869000000,-21.190000000
11.295000000,2262.069000000,-11.856000000,-21.163000000
11.345000000,2268.741000000,-11.844000000,-21.134000000
11.395000000,2275.374000000,-11.830000000,-21.103000000
11.445000000,2281.971000000,-11.816000000,-21.072000000
11.495000000,2288.530000000,-11.802000000,-21.039000000
11.545000000,2295.052000000,-11.788000000,-21.006000000
11.595000000,2301.537000000,-11.773000000,-20.971000000
11.645000000,2307.985000000,-11.758000000,-20.936000000
11.695000000,2314.396000000,-11.743000000,-20.901000000
11.745000000,2320.771000000,-11.728000000,-20.865000000
11.795000000,2327.109000000,-11.712000000,-20.829000000
11.845000000,2333.412000000,-11.696000000,-20.792000000
11.895000000,2339.678000000,-11.680000000,-20.752000000
11.945000000,2345.909000000,-11.662000000,-20.712000000
11.995000000,2352.103000000,-11.645000000,-20.670000000
12.045000000,2358.263000000,-11.627000000,-20.628000000
12.095000000,2364.386000000,-11.609000000,-20.585000000
12.145000000,2370.475000000,-11.590000000,-20.540000000
12.195000000,2376.528000000,-11.571000000,-20.494000000
12.245000000,2382.547000000,-11.551000000,-20.447000000
12.295000000,2388.530000000,-11.531000000,-20.399000000
12.345000000,2394.479000000,-11.511000000,-20.350000000
12.395000000,2400.393000000,-11.490000000,-20.301000000
12.445000000,2406.273000000,-11.469000000,-20.251000000
12.495000000,2412.118000000,-11.448000000,-20.200000000
12.500000000,2412.710000000,-11.446000000,-20.195000000
12.508000000,2413.598000000,-11.443000000,-20.187000000
12.519000000,2414.928000000,-11.438000000,-20.176000000
12.536000000,2416.921000000,-11.431000000,-20.159000000
12.562000000,2419.901000000,-11.421000000,-20.133000000
12.601000000,2424.356000000,-11.404000000,-20.093000000
12.651000000,2430.095000000,-11.382000000,-20.039000000
12.701000000,2435.800000000,-11.358000000,-19.982000000
